period,code
October intake,FIT1045
First semester,FIT1045
Second semester,FIT1045
October intake,FIT1047
First semester,FIT1047
Second semester,FIT1047
First semester,FIT1008
Second semester,FIT1008
October intake,FIT1051
First semester,FIT1051
Second semester,FIT1051
First semester,FIT1043
Second semester,FIT1043
First semester,FIT1055
Second semester,FIT1055
First semester,FIT2081
First semester,FIT2099
Second semester,FIT2099
First semester,FIT2085
Second semester,FIT2085
First semester,FIT2004
Second semester,FIT2004
Second semester,FIT2107
Second semester,FIT2102
Second semester,FIT2014
First semester,FIT2093
Second semester,FIT2086
Second semester,FIT2100
Second semester,FIT2101
First semester,FIT3152
First semester,FIT3155
Second semester,FIT3155
First semester,FIT3171
Second semester,FIT3171
First semester,FIT3036
First semester,FIT3159
First semester,FIT3162
Second semester,FIT3162
Summer semester A,FIT3162
First semester,FIT3161
Second semester,FIT3161
First semester,FIT3134
Second semester,FIT3175
Second semester,FIT3031
Second semester,FIT3179
First semester,FIT3081
First semester,FIT3182
First semester,FIT3077
Second semester,FIT3080
Second semester,FIT3143
Second semester,FIT3181
Second semester,FIT3003
October intake,MAT1830
First semester,MAT1830
Second semester,MAT1830
First semester,MAT1841
Second semester,MAT1841
First semester,FIT3170
Second semester,FIT3170
First semester,FIT3163
Second semester,FIT3164
